age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,sex,race,c_charge_degree,two_year_recid
31,0,5,1,0,3,0.0,Male,African-American,F,0
28,0,6,0,0,0,2.0,Female,Caucasian,M,0
26,0,7,0,2,6,35.0,Male,African-American,F,0
32,0,1,0,0,0,1.0,Male,Caucasian,M,0
21,1,9,0,1,2,0.0,Male,African-American,F,0
40,0,4,0,0,8,1.0,Male,African-American,M,1
26,0,5,0,0,5,1.0,Male,Caucasian,F,1
34,0,5,0,0,5,22.0,Female,Caucasian,F,1
23,0,4,0,0,0,1.0,Female,African-American,F,1
47,0,6,0,0,12,99.0,Male,African-American,F,1
24,0,4,0,0,1,23.0,Female,African-American,F,0
33,0,1,0,0,2,1.0,Male,African-American,M,0
20,0,8,0,0,0,0.0,Female,Caucasian,F,1
51,0,5,0,0,8,1346.0,Male,African-American,M,0
42,1,8,0,1,13,1.0,Male,African-American,M,1
29,0,10,0,0,6,1.0,Male,African-American,F,1
49,0,1,0,0,0,1.0,Female,Caucasian,F,0
43,0,1,0,0,0,1.0,Male,African-American,F,0
27,0,1,0,0,1,1.0,Male,Caucasian,F,0
22,0,5,0,5,0,1.0,Female,African-American,M,1
47,0,4,0,0,2,4.0,Male,Caucasian,F,0
25,0,3,0,0,0,2.0,Male,African-American,M,1
26,0,10,1,0,10,1.0,Male,African-American,F,1
26,0,3,0,1,2,7.0,Male,African-American,F,0
27,0,6,0,0,0,3.0,Male,Caucasian,F,0
28,0,1,0,0,2,1.0,Male,Other,M,0
41,0,6,0,0,9,1.0,Male,Caucasian,M,0
21,0,9,2,6,8,234.0,Male,African-American,F,1
36,0,5,0,2,7,32.0,Male,African-American,M,0
29,0,8,0,0,7,1.0,Male,African-American,M,1
19,0,4,2,0,3,1.0,Male,African-American,F,1
45,0,1,0,0,0,1.0,Female,African-American,F,0
29,0,5,0,0,2,635.0,Male,African-American,M,0
38,0,2,0,0,4,1.0,Male,Caucasian,M,1
20,0,7,0,0,0,0.0,Male,African-American,F,1
23,0,3,0,0,1,1.0,Male,Caucasian,F,0
71,0,1,0,0,8,1.0,Male,African-American,F,0
26,0,9,0,0,1,1.0,Female,Caucasian,F,0
56,0,2,0,0,5,45.0,Male,Caucasian,F,0
38,0,3,0,0,2,1.0,Male,African-American,F,1
44,0,1,0,0,1,0.0,Male,Caucasian,M,1
24,0,5,0,0,0,1.0,Female,Caucasian,M,0
50,0,2,0,0,1,0.0,Male,Caucasian,F,0
25,0,8,0,0,1,1.0,Female,African-American,M,1
32,0,8,0,0,3,1.0,Male,African-American,F,1
26,0,4,0,0,4,74.0,Male,African-American,F,1
46,0,1,0,0,0,1.0,Male,Caucasian,M,0
53,0,2,0,0,3,1.0,Male,Hispanic,M,0
77,0,1,0,0,0,1.0,Male,African-American,M,0
28,0,3,0,0,0,1.0,Female,African-American,F,1
24,0,3,0,3,0,0.0,Male,African-American,F,1
43,0,2,0,0,3,1.0,Male,Other,F,0
33,0,4,0,0,3,1.0,Female,African-American,M,1
25,0,6,0,0,0,1.0,Female,Caucasian,F,0
21,0,6,0,0,0,1.0,Male,African-American,F,1
45,0,1,0,0,3,1.0,Male,Caucasian,F,0
36,0,2,0,0,3,1.0,Male,African-American,F,1
32,0,3,0,0,0,1.0,Male,Caucasian,F,1
56,0,1,0,0,0,0.0,Male,Other,M,0
50,0,6,0,0,18,577.0,Male,Caucasian,M,1
20,0,8,0,3,1,32.0,Male,Caucasian,F,1
27,0,3,0,0,0,0.0,Female,Caucasian,M,0
32,0,3,0,0,2,352.0,Female,African-American,F,0
24,0,5,0,0,0,1.0,Female,Caucasian,F,0
19,3,10,0,0,3,252.0,Male,African-American,F,1
27,0,10,0,1,9,0.0,Male,African-American,F,1
21,0,3,0,0,0,5.0,Male,Hispanic,F,0
29,0,2,0,0,0,1.0,Male,African-American,M,1
22,1,7,0,0,1,1.0,Male,African-American,M,0
22,0,6,0,0,1,97.0,Female,African-American,F,0
29,0,8,0,0,5,1.0,Male,African-American,F,1
26,0,10,0,0,2,1.0,Male,African-American,F,1
33,0,10,0,0,0,1.0,Male,African-American,F,0
60,0,2,0,0,18,26.0,Male,Caucasian,M,1
33,0,9,0,1,14,78.0,Male,Caucasian,F,0
31,0,9,1,0,5,1.0,Male,African-American,M,1
28,0,9,0,0,5,0.0,Male,African-American,F,0
26,0,7,0,0,5,0.0,Male,African-American,F,1
50,0,1,0,0,0,1.0,Male,Caucasian,F,0
47,0,1,0,0,0,0.0,Male,Hispanic,M,0
31,0,3,0,0,2,69.0,Male,Hispanic,F,0
29,0,8,0,0,0,1.0,Male,African-American,F,0
31,0,3,0,0,2,0.0,Male,Caucasian,M,0
28,0,5,0,0,10,20.0,Male,African-American,F,1
22,0,10,0,1,1,0.0,Male,African-American,F,1
38,0,1,0,0,0,1.0,Male,African-American,F,0
26,0,2,0,0,2,1.0,Male,African-American,F,1
46,0,1,0,0,0,1.0,Male,Caucasian,F,0
21,0,4,0,0,0,1.0,Male,African-American,F,0
29,0,2,0,0,2,1.0,Male,Caucasian,F,0
23,0,7,0,1,2,0.0,Male,Caucasian,F,0
25,0,4,0,0,2,1.0,Male,African-American,M,1
26,0,2,0,0,0,1.0,Male,Caucasian,F,0
50,0,1,0,0,1,1320.0,Female,Hispanic,F,0
47,0,1,0,0,1,3.0,Male,African-American,F,0
67,0,4,0,0,8,1.0,Male,African-American,F,0
22,0,9,0,0,6,1.0,Male,Caucasian,F,1
28,0,2,0,0,2,1.0,Male,African-American,F,0
57,0,1,0,0,1,26.0,Male,Caucasian,F,0
41,0,4,0,0,0,1.0,Male,African-American,F,0
21,0,4,0,0,0,1.0,Male,African-American,M,0
64,0,6,0,0,13,1.0,Male,African-American,F,1
32,0,10,0,0,2,1.0,Female,Caucasian,F,1
49,0,1,0,0,2,40.0,Male,Hispanic,M,0
31,0,5,0,0,2,1.0,Male,African-American,F,1
47,0,4,0,0,2,7.0,Male,Caucasian,F,0
30,0,10,0,0,9,0.0,Male,African-American,F,1
23,0,2,0,0,0,0.0,Male,African-American,F,0
21,0,2,0,0,0,1.0,Male,Caucasian,M,0
60,0,3,0,0,12,1.0,Male,African-American,F,0
28,0,7,0,0,4,0.0,Male,African-American,F,1
19,0,4,0,0,1,1.0,Male,Caucasian,M,1
38,0,1,0,0,2,1.0,Male,Caucasian,F,0
44,0,2,0,0,0,1.0,Male,African-American,F,0
20,0,8,0,0,0,1.0,Female,African-American,F,1
20,0,8,0,0,1,1.0,Female,Caucasian,F,1
65,0,3,0,0,4,68.0,Male,Caucasian,M,0
39,0,1,0,0,0,1.0,Female,Other,F,0
21,0,10,0,0,2,0.0,Male,African-American,F,1
34,0,2,0,0,1,1.0,Male,African-American,M,0
54,0,3,0,0,0,1.0,Female,Caucasian,F,1
53,0,9,0,0,3,2757.0,Male,African-American,M,0
46,0,1,0,0,3,22.0,Male,African-American,M,1
21,0,5,0,0,0,1.0,Male,African-American,F,1
55,0,3,0,0,0,1.0,Male,Caucasian,F,0
21,0,8,0,1,0,1.0,Male,Caucasian,F,1
33,0,1,0,0,0,1.0,Female,Caucasian,M,1
33,0,8,0,0,14,79.0,Male,African-American,F,0
41,0,5,0,0,1,1.0,Male,African-American,M,0
33,0,9,0,0,9,1.0,Male,Caucasian,F,1
28,0,4,0,0,1,2.0,Male,African-American,F,1
30,0,10,0,0,19,69.0,Male,Caucasian,F,1
24,0,4,0,0,1,3.0,Female,Caucasian,F,0
58,0,1,0,0,0,1.0,Male,Caucasian,M,0
30,0,1,0,0,0,1.0,Male,African-American,F,0
27,0,1,0,0,0,2.0,Male,Other,F,0
24,0,3,0,0,1,2.0,Female,Hispanic,M,0
23,0,4,0,3,0,2.0,Male,Caucasian,M,0
56,0,1,0,0,4,1.0,Male,African-American,F,0
29,0,4,0,0,2,1.0,Male,African-American,M,0
49,0,1,0,0,0,4.0,Male,African-American,F,0
36,0,1,0,0,2,4.0,Male,Caucasian,F,0
31,0,7,0,0,11,1.0,Male,Caucasian,F,1
21,0,7,0,0,0,1.0,Male,African-American,F,1
23,0,7,0,1,2,192.0,Male,African-American,M,1
45,0,3,0,0,1,1.0,Male,Hispanic,F,0
20,0,4,0,0,1,1.0,Male,African-American,M,1
33,0,6,0,0,13,1.0,Male,African-American,F,1
28,0,9,0,0,9,12.0,Female,African-American,M,1
30,0,3,0,0,0,0.0,Male,African-American,F,1
37,0,2,0,0,1,1.0,Male,Caucasian,F,1
29,0,6,0,0,6,1.0,Male,African-American,F,1
21,0,4,0,0,0,1.0,Male,African-American,F,0
29,0,7,0,0,9,1.0,Female,African-American,F,1
27,0,3,0,0,3,1.0,Male,Caucasian,M,0
32,0,10,0,0,4,7.0,Female,African-American,F,1
25,0,6,0,0,0,1.0,Male,Caucasian,F,0
21,0,10,1,0,1,0.0,Male,African-American,F,1
31,0,6,0,0,3,1.0,Male,Other,F,0
31,0,3,0,0,2,1.0,Female,African-American,M,0
40,0,1,0,0,0,4.0,Female,Other,F,0
21,0,7,0,0,2,1.0,Male,Caucasian,F,1
26,0,4,0,0,1,1.0,Male,Caucasian,M,0
29,0,3,0,0,7,1.0,Male,African-American,F,0
23,0,2,0,0,1,2.0,Male,African-American,F,0
24,0,4,0,0,1,280.0,Male,Caucasian,F,0
26,0,7,0,0,4,1.0,Male,Caucasian,F,1
27,0,6,0,0,2,310.0,Male,African-American,M,1
35,0,2,0,0,7,1.0,Female,African-American,F,1
21,0,4,0,0,0,1.0,Male,African-American,F,1
38,0,1,0,0,0,1.0,Female,African-American,F,0
28,0,5,0,0,9,1.0,Male,African-American,M,0
26,0,3,0,0,0,1.0,Male,Hispanic,F,0
37,0,1,0,0,1,1.0,Male,Hispanic,M,0
20,0,4,0,0,0,1.0,Male,Caucasian,M,0
24,0,9,0,2,2,1.0,Male,African-American,M,1
24,0,4,0,0,0,1.0,Male,African-American,F,0
33,0,2,0,0,4,1.0,Male,African-American,F,1
37,0,3,0,0,0,1.0,Male,Caucasian,M,0
23,0,4,0,0,0,1.0,Male,Caucasian,F,0
23,0,8,0,0,6,1.0,Male,Other,F,1
32,0,5,0,0,2,62.0,Male,Caucasian,F,1
29,0,8,0,0,6,1.0,Male,African-American,F,1
38,0,1,0,0,2,1.0,Male,Caucasian,M,0
42,0,5,0,0,2,1.0,Male,African-American,F,0
35,0,7,0,0,0,1.0,Male,Hispanic,F,0
25,0,2,0,0,0,1.0,Male,African-American,F,0
45,0,9,0,0,15,1.0,Male,African-American,F,1
52,0,1,0,0,1,22.0,Male,African-American,M,0
29,0,4,0,0,4,26.0,Male,African-American,M,0
28,0,2,0,0,0,1.0,Male,Hispanic,F,0
37,0,1,0,0,0,1.0,Male,Other,M,0
39,0,6,0,0,22,49.0,Female,African-American,F,1
28,0,4,0,0,6,0.0,Male,Caucasian,M,1
28,0,1,0,0,1,22.0,Male,Caucasian,F,1
23,0,3,0,0,0,2.0,Male,Hispanic,F,0
53,0,1,0,0,0,0.0,Female,Caucasian,F,0
27,0,5,0,0,2,822.0,Female,African-American,M,0
28,0,2,0,0,0,1.0,Male,African-American,F,0
42,0,2,0,0,1,4.0,Male,Caucasian,M,0
37,0,5,0,0,1,0.0,Male,Hispanic,F,0
29,0,2,0,0,12,0.0,Male,African-American,F,1
34,0,1,0,0,0,0.0,Male,African-American,M,1
28,0,5,0,0,2,1.0,Male,African-American,F,0
42,0,5,0,0,2,1.0,Male,Caucasian,F,1
27,0,2,0,0,0,1.0,Female,Caucasian,F,1
22,0,3,0,0,1,4.0,Male,African-American,F,0
27,0,3,0,0,3,90.0,Male,African-American,F,1
39,0,3,0,0,0,1.0,Male,Caucasian,F,0
28,0,10,0,0,5,1.0,Male,African-American,F,0
29,0,7,0,0,3,0.0,Male,Other,M,0
21,0,5,0,0,1,2.0,Male,African-American,M,0
21,0,8,0,0,4,1.0,Male,African-American,F,0
23,0,2,0,0,0,1.0,Male,Hispanic,F,0
58,0,7,0,0,7,1.0,Male,Caucasian,F,1
30,0,4,0,0,3,1.0,Male,African-American,F,1
31,0,8,0,0,0,1.0,Male,African-American,F,1
41,0,6,0,0,0,4.0,Male,African-American,M,0
38,0,9,0,0,20,1.0,Female,Hispanic,F,1
33,0,5,0,0,14,60.0,Male,African-American,F,0
39,0,5,1,0,6,1.0,Female,African-American,F,0
21,0,10,0,0,0,1.0,Female,African-American,F,1
22,0,6,0,0,0,1.0,Female,Hispanic,F,0
66,0,1,0,0,1,1.0,Male,Caucasian,M,0
22,0,5,0,0,1,1.0,Male,African-American,F,0
23,0,7,0,0,0,1.0,Male,African-American,F,0
32,0,2,0,0,1,41.0,Female,Caucasian,M,1
34,0,7,1,0,27,1.0,Male,African-American,M,0
25,0,8,0,0,2,0.0,Male,Caucasian,M,0
28,0,6,0,0,0,1.0,Male,Caucasian,F,1
21,0,3,0,1,0,1.0,Male,African-American,F,0
53,0,8,0,0,9,1.0,Male,Hispanic,F,1
33,0,6,0,0,7,6.0,Female,Caucasian,M,0
46,0,1,0,0,0,1.0,Male,Other,F,0
21,0,9,0,0,1,1.0,Male,African-American,F,1
31,0,5,0,0,3,1.0,Male,African-American,F,1
23,0,3,0,0,0,0.0,Male,Caucasian,M,0
49,0,1,0,0,1,23.0,Male,Caucasian,F,0
42,0,1,0,0,1,13.0,Male,Other,M,0
27,0,7,0,0,1,238.0,Female,Caucasian,F,1
43,0,3,0,0,1,1.0,Male,African-American,F,0
37,0,2,0,0,1,1.0,Male,Caucasian,M,0
56,0,1,0,0,7,1.0,Male,Caucasian,F,1
24,0,4,0,0,0,2.0,Male,Caucasian,F,0
45,0,4,0,0,0,1.0,Male,African-American,F,1
23,0,7,0,0,0,1.0,Male,African-American,F,0
64,0,1,0,0,0,1.0,Male,Caucasian,M,0
34,0,3,0,0,0,1.0,Male,Caucasian,F,0
50,0,6,0,0,12,289.0,Female,African-American,M,1
38,0,6,0,0,8,1.0,Male,African-American,M,1
20,0,9,0,1,1,1.0,Male,African-American,M,1
21,1,10,0,0,2,273.0,Male,African-American,F,0
31,0,7,0,0,4,1.0,Male,Caucasian,M,1
34,0,7,0,0,12,1.0,Male,African-American,F,0
35,0,5,0,0,3,0.0,Male,Caucasian,M,1
39,0,6,0,0,6,1.0,Male,Caucasian,F,0
35,0,6,0,0,9,1.0,Male,African-American,F,0
24,0,5,0,0,0,1.0,Female,Caucasian,M,1
25,0,7,0,0,0,0.0,Male,Caucasian,M,0
21,0,7,0,0,0,0.0,Female,African-American,F,1
36,0,6,0,0,2,1.0,Male,African-American,F,1
28,0,3,0,0,0,1.0,Male,Caucasian,F,0
26,0,9,0,0,2,634.0,Female,African-American,F,0
29,0,6,1,0,17,1.0,Male,Hispanic,F,1
60,0,1,0,0,1,1.0,Male,Caucasian,F,0
31,0,6,0,0,5,1.0,Male,Other,F,0
24,0,9,0,0,2,4.0,Male,African-American,M,1
33,0,4,0,0,2,14.0,Male,Caucasian,F,0
55,0,6,0,0,21,1.0,Male,African-American,F,1
29,0,8,1,1,8,1.0,Male,African-American,F,1
24,0,5,0,0,3,1.0,Male,Caucasian,F,1
26,0,2,0,0,1,1.0,Male,Caucasian,M,0
24,0,7,0,0,2,1.0,Male,Caucasian,F,1
47,0,1,0,0,1,1.0,Male,Caucasian,F,0
48,0,6,0,0,9,87.0,Female,Hispanic,F,0
39,0,1,0,0,0,1.0,Male,Other,M,0
52,0,1,0,0,2,5.0,Male,African-American,F,0
22,0,9,0,0,1,1.0,Male,African-American,M,1
31,0,6,0,0,2,1.0,Female,Caucasian,M,0
27,0,8,0,0,10,0.0,Male,African-American,F,1
46,0,4,0,0,4,0.0,Female,African-American,F,0
37,0,9,0,0,20,0.0,Male,African-American,F,1
25,0,3,0,0,0,1.0,Male,African-American,F,0
29,0,2,0,0,1,18.0,Male,Caucasian,F,0
31,0,4,0,0,1,444.0,Male,African-American,M,0
22,0,6,0,0,1,1.0,Male,African-American,F,1
21,0,7,0,0,0,1.0,Male,African-American,F,1
33,0,2,0,0,0,1.0,Female,African-American,F,0
24,0,3,0,0,0,1.0,Male,Caucasian,F,0
48,0,2,0,0,4,1.0,Male,Other,F,0
21,1,4,0,1,1,171.0,Male,African-American,F,1
30,0,1,0,0,0,1.0,Male,Other,F,0
36,0,1,0,0,0,0.0,Male,Caucasian,M,0
27,0,4,0,1,6,1.0,Male,Hispanic,F,1
23,0,6,0,0,0,1.0,Female,Caucasian,F,0
48,0,1,0,0,1,169.0,Male,Hispanic,F,1
28,0,7,0,0,9,1.0,Male,African-American,F,1
59,0,1,0,0,1,302.0,Female,Caucasian,F,0
23,0,6,0,0,1,1.0,Male,African-American,F,1
34,0,3,0,0,2,1.0,Male,African-American,F,1
31,0,8,2,0,10,3.0,Female,African-American,F,0
33,0,2,2,0,2,22.0,Male,Caucasian,M,0
48,0,8,0,0,20,0.0,Male,Caucasian,F,1
27,0,3,0,0,6,1.0,Female,Caucasian,F,1
25,0,4,0,0,4,0.0,Male,Hispanic,F,0
45,0,2,0,0,4,1.0,Male,African-American,M,0
43,0,8,0,0,7,21.0,Female,Caucasian,F,0
52,0,7,0,0,0,0.0,Female,African-American,F,1
39,0,7,0,0,1,1.0,Female,African-American,F,1
47,0,4,0,0,1,1.0,Male,African-American,M,0
47,0,1,0,0,0,0.0,Male,Caucasian,M,0
44,0,1,0,0,1,1.0,Female,Caucasian,M,1
32,2,9,0,1,15,1.0,Male,Caucasian,F,1
36,0,8,0,0,4,158.0,Male,Caucasian,F,1
50,0,1,0,0,0,2.0,Male,Caucasian,F,0
30,0,8,0,0,7,146.0,Male,Hispanic,F,1
22,0,4,0,0,0,1.0,Male,Caucasian,F,1
22,0,3,0,2,0,1.0,Male,African-American,F,1
28,0,3,0,0,2,1.0,Male,Caucasian,M,1
58,0,1,0,0,0,1.0,Female,Other,F,1
22,0,7,0,2,0,1.0,Male,Caucasian,F,1
26,0,6,0,0,2,1.0,Male,African-American,F,0
27,0,5,0,0,0,0.0,Male,Caucasian,M,0
30,0,2,0,0,1,1.0,Male,Hispanic,F,1
32,0,6,0,0,9,40.0,Male,African-American,M,1
33,0,8,0,0,14,1.0,Male,African-American,F,1
50,0,1,0,0,12,22.0,Male,African-American,F,1
31,0,3,0,0,7,1.0,Male,African-American,M,1
29,0,3,0,0,2,1.0,Male,African-American,F,0
30,0,9,0,0,1,62.0,Female,African-American,F,1
20,0,3,0,0,0,1.0,Male,African-American,M,1
22,0,3,0,0,3,1.0,Male,African-American,F,1
30,0,2,0,0,3,166.0,Male,African-American,F,0
55,0,4,0,0,5,1.0,Male,African-American,F,0
29,0,2,0,0,0,1.0,Male,African-American,F,1
33,0,2,0,0,3,995.0,Male,Hispanic,M,0
24,0,6,1,2,2,394.0,Male,African-American,M,0
40,0,8,0,0,8,28.0,Male,Caucasian,F,1
71,0,7,0,0,12,804.0,Male,African-American,M,0
24,0,5,0,0,3,1.0,Male,Caucasian,F,1
54,0,1,0,0,1,1.0,Male,African-American,M,0
43,0,1,0,0,1,1.0,Male,Hispanic,M,1
51,0,5,0,0,5,0.0,Female,Caucasian,F,0
43,0,5,0,0,0,1.0,Male,African-American,F,1
31,0,4,0,0,0,1.0,Male,Caucasian,F,0
31,0,2,0,0,0,1.0,Female,African-American,F,0
32,0,6,0,0,2,171.0,Female,Caucasian,M,0
45,0,8,0,0,38,1.0,Male,African-American,F,1
25,0,4,0,0,0,1.0,Male,African-American,M,0
34,0,1,0,0,1,17.0,Male,African-American,F,0
21,0,5,0,0,1,1.0,Male,Hispanic,F,0
31,0,1,0,0,2,1.0,Male,African-American,F,0
41,0,1,0,0,2,42.0,Male,Caucasian,F,0
42,0,3,0,0,2,1.0,Female,African-American,M,0
48,0,2,0,0,2,1.0,Male,Caucasian,M,0
49,0,1,0,0,2,0.0,Female,Caucasian,M,1
27,0,5,0,0,6,1.0,Male,African-American,F,1
25,0,8,0,0,0,0.0,Male,African-American,F,0
50,0,5,0,0,1,22.0,Male,African-American,F,0
45,0,2,0,0,7,1.0,Male,Caucasian,F,0
39,0,2,0,0,17,1.0,Male,Caucasian,F,1
25,0,4,1,0,6,16.0,Male,Caucasian,F,0
56,0,1,0,0,0,2.0,Male,Caucasian,F,0
49,0,7,0,0,0,1.0,Male,Caucasian,F,1
34,0,1,0,0,3,4.0,Male,African-American,M,0
47,0,2,0,0,3,1.0,Male,African-American,F,0
27,0,2,0,0,1,3.0,Male,African-American,F,0
35,0,7,0,0,8,0.0,Male,African-American,M,1
52,0,7,0,0,17,0.0,Male,African-American,F,1
21,0,9,1,0,1,1.0,Male,African-American,F,1
27,0,3,0,0,1,1.0,Male,Hispanic,F,0
43,0,5,0,0,5,1.0,Male,Caucasian,F,0
27,2,10,0,0,14,0.0,Male,African-American,F,1
24,0,3,0,0,0,0.0,Female,Caucasian,M,0
39,0,1,0,0,0,1.0,Male,Caucasian,M,0
22,0,4,0,1,1,1.0,Male,African-American,M,1
27,0,4,0,0,3,33.0,Female,African-American,F,1
55,0,1,0,0,0,7.0,Male,Hispanic,M,0
54,0,6,0,0,3,1.0,Male,African-American,F,1
26,0,6,0,1,3,1.0,Male,African-American,F,0
22,0,6,0,0,0,1.0,Female,African-American,F,0
24,0,8,0,1,3,1.0,Male,African-American,F,1
24,0,10,1,9,2,1.0,Male,Other,F,1
51,0,2,0,0,7,1.0,Female,African-American,F,0
44,0,1,0,0,0,1.0,Male,Caucasian,M,0
34,0,1,0,1,3,1.0,Male,African-American,F,1
59,0,3,0,0,2,400.0,Female,Caucasian,F,0
47,0,3,0,0,1,1.0,Male,Caucasian,F,1
67,0,1,0,0,2,80.0,Male,Caucasian,F,0
37,0,3,0,0,0,1.0,Male,Caucasian,F,0
41,0,7,0,0,3,1453.0,Male,African-American,F,0
30,1,9,0,0,5,1.0,Male,African-American,F,1
49,0,2,0,0,2,1.0,Male,Caucasian,M,0
39,2,9,2,1,19,1.0,Male,African-American,F,1
33,0,1,0,0,1,0.0,Female,Caucasian,M,0
47,0,1,0,0,2,1.0,Male,Caucasian,F,0
26,0,5,0,0,3,1.0,Male,Caucasian,F,1
34,0,6,0,0,17,0.0,Male,Hispanic,F,1
41,0,1,0,0,0,3.0,Male,Hispanic,F,1
21,0,7,0,0,3,0.0,Male,African-American,F,1
23,0,6,0,0,0,0.0,Male,Caucasian,M,0
28,0,3,0,0,0,1.0,Female,African-American,F,0
33,0,1,0,0,0,2.0,Female,Caucasian,M,0
35,0,6,0,0,2,15.0,Female,African-American,F,0
28,0,5,0,0,2,1.0,Male,African-American,F,1
30,0,4,0,0,0,1.0,Male,Caucasian,F,0
27,0,3,0,0,0,1.0,Female,African-American,F,0
59,0,2,0,0,4,1.0,Male,African-American,M,0
21,0,4,0,0,0,1.0,Male,Hispanic,M,1
28,0,6,0,0,3,1.0,Male,African-American,M,1
25,0,2,0,0,0,1.0,Male,Hispanic,M,0
56,0,1,0,0,2,1.0,Female,African-American,M,1
25,0,9,0,0,0,1.0,Male,African-American,F,1
55,0,7,0,0,3,1.0,Male,Caucasian,F,1
75,0,1,0,0,1,111.0,Male,Hispanic,F,0
26,0,2,0,0,3,1.0,Female,African-American,F,1
26,0,4,0,0,3,0.0,Male,African-American,F,1
26,0,6,0,0,1,1.0,Male,African-American,M,1
23,0,7,0,0,2,1.0,Female,African-American,F,1
41,0,6,0,3,12,0.0,Male,African-American,F,1
26,0,7,1,2,5,1.0,Male,African-American,F,1
51,0,2,0,0,8,447.0,Male,African-American,F,0
30,0,7,0,0,8,1.0,Female,African-American,F,1
41,0,4,0,0,7,0.0,Male,African-American,F,0
23,0,9,0,0,3,1.0,Male,African-American,F,1
20,0,7,0,0,3,1.0,Male,African-American,F,1
36,0,2,0,0,1,1.0,Female,African-American,M,0
22,0,8,0,1,1,0.0,Male,Caucasian,M,1
35,0,5,0,0,2,1.0,Female,African-American,F,0
27,0,2,0,0,3,365.0,Male,African-American,M,0
46,0,1,0,0,0,1.0,Male,Caucasian,F,0
21,0,5,0,0,0,2.0,Female,African-American,F,1
22,1,9,0,0,2,0.0,Male,African-American,F,1
40,0,1,0,0,1,21.0,Male,Caucasian,F,0
36,0,1,0,0,12,26.0,Male,Caucasian,F,0
24,0,3,0,0,1,1.0,Male,African-American,F,1
26,0,5,0,0,1,1.0,Male,African-American,F,1
20,9,4,0,0,9,23.0,Male,African-American,F,1
37,2,3,0,0,11,1.0,Male,Other,F,0
20,0,5,0,2,0,1.0,Male,African-American,F,1
26,0,4,0,0,1,1.0,Male,African-American,F,0
55,0,2,0,0,1,17.0,Male,Caucasian,M,0
25,2,10,0,0,4,1.0,Male,African-American,F,1
34,0,9,0,0,3,1.0,Male,African-American,M,0
46,0,5,0,0,10,1.0,Male,African-American,F,1
42,0,2,0,0,0,1.0,Male,Caucasian,F,0
40,0,5,0,0,0,1.0,Female,Caucasian,M,0
21,0,10,0,0,0,1.0,Female,African-American,F,0
34,0,1,0,0,0,1.0,Male,African-American,F,0
24,0,8,0,0,3,1.0,Male,Caucasian,M,1
25,4,8,0,0,5,1.0,Male,Caucasian,M,0
26,0,10,0,0,3,1.0,Male,African-American,M,0
74,0,1,0,0,0,1.0,Male,Caucasian,M,0
25,0,7,0,0,6,1.0,Male,Hispanic,M,1
35,0,1,0,0,2,1.0,Male,African-American,F,0
30,0,3,0,0,5,1.0,Male,African-American,M,0
34,0,1,0,0,0,0.0,Male,Caucasian,M,1
37,0,1,0,0,1,1.0,Female,Caucasian,F,0
54,0,1,0,0,0,1.0,Male,Other,M,0
26,0,1,0,0,1,1.0,Male,African-American,F,1
27,0,4,0,0,0,1.0,Male,African-American,F,1
22,0,3,0,1,0,1.0,Male,Hispanic,M,0
34,0,1,0,0,0,1.0,Female,African-American,F,0
32,0,3,0,0,4,0.0,Male,African-American,F,1
24,0,4,0,0,2,1.0,Female,African-American,F,0
37,0,8,1,0,13,1.0,Male,African-American,F,1
46,0,3,0,0,2,1.0,Male,Caucasian,F,0
51,0,3,0,0,3,13.0,Male,Caucasian,F,1
21,0,3,0,0,1,10.0,Male,African-American,F,0
25,0,2,0,0,2,1.0,Male,Other,F,0
47,4,9,0,1,14,1.0,Male,African-American,F,1
38,0,1,0,0,2,0.0,Male,Asian,F,0
51,0,2,0,0,3,1.0,Male,African-American,F,0
24,0,8,0,0,4,1.0,Male,Caucasian,M,0
29,0,8,0,0,0,1.0,Male,Caucasian,F,0
36,0,1,0,0,0,1.0,Male,Other,M,0
30,0,2,0,0,0,1.0,Female,African-American,F,0
39,0,1,0,0,8,56.0,Male,Caucasian,F,0
21,0,9,2,0,2,173.0,Male,African-American,M,1
27,0,7,0,0,1,1.0,Male,Caucasian,M,1
63,0,1,0,0,1,26.0,Male,Hispanic,F,0
61,0,1,0,0,1,1.0,Female,African-American,F,1
53,0,1,0,0,0,0.0,Male,Other,M,0
24,0,10,0,0,11,15.0,Male,Hispanic,F,1
58,0,3,0,0,5,1.0,Male,Caucasian,F,1
30,0,2,0,0,0,1.0,Male,Caucasian,M,1
43,0,7,0,0,8,1.0,Male,African-American,F,1
31,0,6,0,0,0,5.0,Female,African-American,M,0
71,0,1,0,0,3,1.0,Male,Caucasian,M,0
37,0,1,0,0,3,1.0,Female,African-American,F,0
50,1,2,0,0,5,169.0,Male,African-American,F,0
24,0,9,0,0,0,1.0,Male,Caucasian,F,0
28,0,7,0,0,5,1.0,Male,Caucasian,M,1
61,0,6,0,0,4,1.0,Male,Caucasian,F,0
32,0,5,0,0,6,1.0,Male,Hispanic,M,1
33,0,1,0,0,0,1.0,Male,Other,F,0
33,0,2,0,0,3,391.0,Male,Hispanic,F,0
26,0,8,0,0,4,1.0,Male,African-American,F,1
42,0,2,0,0,0,1.0,Female,Caucasian,M,0
21,0,8,0,0,0,1.0,Male,African-American,F,1
65,0,10,0,0,11,2231.0,Male,African-American,F,0
